Year,RD_vote_r,State
2008,0.7281714273849407,NJ
2012,0.6962962823383987,NJ
2016,0.7456823558217326,NJ
2004,1.0161426853793853,NM
2008,0.734157173035972,NM
2012,0.8084750863760579,NM
2016,0.8297995504031316,NM
2004,0.6714081547471689,NY
2008,0.52059206963033,NY
2012,0.5141720094315101,NY
2016,0.5770008555206655,NY
2004,1.2852949407182492,NC
2008,0.9933834301526474,NC
2012,1.0422348421380734,NC
2016,1.0791639945992264,NC
2004,1.770801066167201,ND
2008,1.1933988306742733,ND
2012,1.5069698958116609,ND
2016,2.31227201945434,ND
2004,1.0432659106620725,OH
2008,0.9108094980891442,OH
2012,0.9412177233087461,OH
2016,1.1866375904073405,OH
2004,1.9044776830182988,OK
2008,1.9107913296822263,OK
2012,2.009539011649273,OK
2016,2.25783169788879,OK
2004,0.9190680720087621,OR
2008,0.7119265471309401,OR
2012,0.7771090420489486,OR
2016,0.7807587221311917,OR
2004,0.950904242374736,PA
2008,0.810619885525505,PA
2012,0.8963840771782118,PA
2016,1.0151351077981754,PA
2004,0.6507776408992917,RI
2008,0.5576775881660715,RI
2012,0.5620912695716844,RI
2016,0.7149509949509949,RI
2004,1.4175879480525762,SC
2008,1.19995037387718,SC
2012,1.237549671397936,SC
2016,1.3507428922820806,SC
2004,1.558414408619442,SD
2008,1.1879782827455476,SD
2012,1.4520921958921393,SD
2016,1.9387440617071634,SD
2004,1.3356543367580758,TN
2008,1.3602424784148415,TN
2012,1.5221362556195477,TN
2016,1.7490912432022694,TN
2004,1.5980903758387746,TX
2008,1.2694230315252393,TX
2012,1.381400153077696,TX
2016,1.2081502000583826,TX
2004,2.7518439131173844,UT
2008,1.8189947202978607,UT
2012,2.9410713505656974,UT
2016,1.6583653604743236,UT
2004,0.6583472322578192,VT
2008,0.45139604673860495,VT
2012,0.4652603155004793,VT
2016,0.5340617002570377,VT
2004,1.1802498312415535,VA
2008,0.8803147894497257,VA
2012,0.924284163868913,VA
2016,0.8929937475807139,VA
2004,0.8640531955680072,WA
2008,0.7020689403077823,WA
2012,0.7352585969205809,WA
2016,0.7010583467893257,WA
2004,1.2977788394106713,WV
2008,1.3080692562619916,WV
2012,1.7528717541937893,WV
2016,2.5920897909891205,WV
2004,0.9923571873590135,WI
2008,0.752673933094882,WI
2012,0.8704374192234968,WI
2016,1.0164538210939895,WI
2004,2.368444105346445,WY
2008,1.9906115750349953,WY
2012,2.467482608319141,WY
2016,3.1161274185768137,WY
